HOITEMID,ITEMNAME,ADDRESS,LGA,LISTING,LISTINGNO,PLANNO,RUNDATE,LISTING_DA
5045616,White Horse Inn,NULL,Wingecarribee,SHR,106,336,20/03/2014,
5014178,Kirkham Stables and Precinct,NULL,Camden,SHR,1411,1893,20/03/2014,
5045447,Cairnsfoot Special School,18 Loftus Street Turrella,Rockdale,SHR,551,1217,20/03/2014,
5045243,Belvedere,7 Cranbrook Avenue Cremorne,North Sydney,SHR,320,754,20/03/2014,
5045610,Ardglen Tunnel,NULL,Upper Hunter,SHR,1021,NULL,20/03/2014,
5045757,Cecil Hills Farm,NULL,Liverpool,SHR,774,1852,20/03/2014,
5045104,Public Trust Office,19-21 O'Connell Street Sydney,Sydney,SHR,1019,NULL,20/03/2014,
5056468,Raffan's Mill and Brick Bottle Kilns Precinct,NULL,Lithgow,SHR,1738,2092,20/03/2014,
5045486,Hassall & Jefferis Cottages,NULL,Wingecarribee,SHR,491,1254,20/03/2014,
5045010,Old Sugarmill,NULL,Canterbury,SHR,290,714A,20/03/2014,
5061305,"Christ Church Cathedral, Movable Collections, Cemetery and Park",52A Church Street Newcastle,Newcastle,SHR,1858,2464,20/03/2014,
5052149,Cliefden,Mandurama,Blayney,SHR,1827,2277,,
5051437,Woollahra Reservoir WS022,5R Oxford Street Centennial Park,Randwick,SHR,1356,2037,20/03/2014,
5012311,Rozelle Hospital - Broughton Hall,NULL,Leichhardt,SHR,831,NULL,20/03/2014,
5045131,Oddfellows Arms Inn,541 Church Street Parramatta,Parramatta,SHR,276,683,20/03/2014,
5054689,Granville Town Hall,10 Carlton Street Granville,Parramatta,SHR,1679,1935,20/03/2014,
5050068,Walter Burley Griffin Lodge,32 Plateau Road Avalon,Pittwater,SHR,1510,2137,20/03/2014,
5045129,Old London Bank Building,17 Sturt Street Bourke,Bourke,SHR,764,1829,20/03/2014,
5051429,Mosman Bay Sewage Aqueduct,NULL,Mosman,SHR,1328,2022,20/03/2014,
5001371,Bathurst Court House,NULL,Bathurst Regional,SHR,790,2493,20/03/2014,
5051559,Grave of Yuranigh,3km SE of Molong Yuranigh Road Molong,Cabonne,SHR,1713,1963,20/03/2014,
5045749,Robin Hood Farm,196 Campbelltown Road Ingleburn,Campbelltown,SHR,1387,2266,20/03/2014,
5045075,Metropolitan Hotel,244 George Street Sydney,Sydney,SHR,663,1709,20/03/2014,
5001230,Great Drain and two house sites,NULL,Baulkham Hills,SHR,1402,NULL,20/03/2014,
5012102,Menangle rail bridge over Nepean River,NULL,Wollondilly,SHR,1047,NULL,20/03/2014,
5052792,"Windmill Hill Group, including Ruins","Wilton Road, Appin",Wollondilly,SHR,1931,2614,1/07/2014,
5060999,131 Radar Station (former),NULL,Newcastle,SHR,1815,2307,20/03/2014,
5060831,Archaeological Remains of Overseers' Cottages,30-44 Clarence Street Port Macquarie,Port Macquarie-Hastings,SHR,1813,2313,20/03/2014,
5011933,Bomaderry Railway Station and yard group,NULL,Shoalhaven,SHR,1090,2466,20/03/2014,
5045372,Nant Gwylan and Garden,NULL,Camden,SHR,243,573,20/03/2014,
5051438,Wolli Creek Aqueduct,NULL,Canterbury,SHR,1355,2036,20/03/2014,
5014134,"Historic Photographs Collection, Department of Mineral Resources",29-57 Christie Street St. Leonards,Willoughby,SHR,972,NULL,20/03/2014,
5044753,Glen Innes Post and Telegraph Office,NULL,Glen Innes Severn,SHR,1406,NULL,20/03/2014,
5053877,Burwood Sewer Vent,NULL,Burwood,SHR,1638,1999,20/03/2014,
5051397,Parramatta District Hospital - Brislington and Landscape,10 George Street Parramatta,Parramatta,SHR,59,253,20/03/2014,
5062291,Wollongong Original Telegraph Office & Post Office,,Wollongong,SHR,1940,2623,26/02/2015,
5045358,Mechanics Institute,13 Page Street Moruya,Eurobodalla,SHR,485,1214,20/03/2014,
5012119,Burrinjuck Dam Site - Barren Jack Creek Water Supply Dam,NULL,Yass Valley,SHR,960,NULL,20/03/2014,
5051360,Carrathool Bridge over Murrumbidgee River,Main Road 244 Carrathool,Carrathool,SHR,1460,2681,19/01/2015,
5011964,Substation,41 Mountain Street Ultimo,Sydney,SHR,934,NULL,20/03/2014,
5012023,Goulburn Viaduct (Mulwaree Ponds),NULL,Goulburn Mulwaree,SHR,1035,NULL,20/03/2014,
5061196,Lithgow Heavy Anti Aircraft Gun Stations and Dummy Station,"Kirkley Street (via) Bowenfels, off Chifley Road Scenic Hill, off Hassans Walls Road Lithgow",Lithgow,SHR,1862,"2344, 2345, 2346",4/03/2015,
5051264,Norman Lindsay Gallery,14-20 Norman Lindsay Crescent Faulconbridge,Blue Mountains,SHR,1503,2130,20/03/2014,
5051556,Wellington Convict and Mission Site - Maynggu Ganai,NULL,Wellington,SHR,1859,2426,20/03/2014,
5052361,Hill 60/ Illowra Battery,NULL,Wollongong City,SHR,1492,2003,20/03/2014,
5000968,Stone Shop,67 Windmill Street Millers Point,Sydney,SHR,860,NULL,20/03/2014,
5053600,Kenmore Hospital Precinct,NULL,Goulburn Mulwaree,SHR,1728,1973,20/03/2014,
5044968,Pearce Family Cemetery,NULL,Baulkham Hills,SHR,593,1600,20/03/2014,
5053188,"Railings, Sydney Cove",NULL,Sydney,SHR,1572,NULL,20/03/2014,
5000971,Stevens Terrace,73 Windmill Street Millers Point,Sydney,SHR,862,NULL,20/03/2014,
5051274,Broken Hill Post Office,258-260 Argent Street Broken Hill,Broken Hill,SHR,1423,NULL,20/03/2014,
5045342,Harbour View Hotel and site,18 Lower Fort Street Millers Point,Sydney,SHR,634,1663,20/03/2014,
5012223,Stanmore Railway Station Group,NULL,Marrickville,SHR,1251,2421,20/03/2014,
5052292,Maitland Jewish Cemetery,"Trappaud Road, South Maitland",Maitland,SHR,1921,2604,,
5000658,Rydalmere Hospital Precinct (former),171 Victoria Road Rydalmere,Parramatta,SHR,749,1811,20/03/2014,
5051372,Hinton Bridge over Paterson River,Hinton-Morpeth Road Hinton,Maitland,SHR,1470,2655,3/12/2014,
5061024,BHP Chimney Ruin of First Offices,"Part of Consolidated Mining Lease 7 East of corner of Gaffney and Oxide Streets, Proprietary Square Broken Hill",Broken Hill,SHR,1820,2311,20/03/2014,
5045033,Rose Seidler House,69-71 Clissold Road Wahroonga,Ku-Ring-Gai,SHR,261,633,20/03/2014,
5045566,"Scots Presbyterian Church, Land and Trees",NULL,Kiama,SHR,120,349,20/03/2014,
5045551,Abbotsford,NULL,Wollondilly,SHR,73,998,20/03/2014,
5045288,Lynton,4 Clarence Street Burwood,Burwood,SHR,284,696,20/03/2014,
5045734,Hibernia Lodge,69 Collett Street Queanbeyan,Queanbeyan,SHR,514,1006,20/03/2014,
5056093,Yooroonah Tank Barrier,NULL,Armidale Dumaresq,SHR,1803,2154,20/03/2014,
5053634,Scheyville National Park,NULL,Hawkesbury,SHR,1817,2295,20/03/2014,
5045143,Goat Island,NULL,Unincorporated Waterway,SHR,989,NULL,20/03/2014,
5053867,"Pipehead, water supply canal and associated works",NULL,Holroyd,SHR,1629,2299,20/03/2014,
5051399,Redcoats Mess House,NULL,Parramatta,SHR,218,525,20/03/2014,
5045049,South Steyne (S.S.),NULL,Unincorporated Waterway,SHR,755,NULL,20/03/2014,
5051475,Mayfield,NULL,Palerang,SHR,1365,NULL,20/03/2014,
5045695,Waterview Wharf Workshops,37 Nicholson Street Balmain,Leichhardt,SHR,687,1737,20/03/2014,
5053174,Mariners' Church,98-100 George Street The Rocks,Sydney,SHR,1559,NULL,20/03/2014,
5012105,Millthorpe Railway Station group,NULL,Blayney,SHR,1193,NULL,20/03/2014,
5051287,Kempsey Post Office,NULL,Kempsey,SHR,1420,NULL,20/03/2014,
5045229,Mountain View,22 Inalls Lane Richmond,Hawkesbury,SHR,44,213,20/03/2014,
5061406,Toongabbie Government Farm Archaeological Site,"Oakes Road, Old Toongabbie",Parramatta,SHR,1903,2515,,
5053878,Croydon Sewer Vent,NULL,Burwood,SHR,1639,2052,20/03/2014,
5053873,Ashfield Reservoir (Elevated) (WS 0003),NULL,Canterbury,SHR,1622,2039,20/03/2014,
5052629,Harrington Park,1 Hickson Circuit Harrington Park,Camden,SHR,1773,2204,20/03/2014,
5000851,Bomera & Tarana,1 Wylde Street Potts Point,Sydney,SHR,1400,2290,20/03/2014,
5045241,Stone House,"49, 51 Kent Street Millers Point",Sydney,SHR,876,2692,20/03/2014,
5053192,Sailor's Home (former),106-108 George Street The Rocks,Sydney,SHR,1576,NULL,20/03/2014,
5051253,Ahimsa,67 Cobran Road Cheltenham,Hornsby,SHR,1494,2122,20/03/2014,
5051310,Miss Porter's House,434 King Street Newcastle,Newcastle,SHR,1445,2117,20/03/2014,
5045548,The Manse,23 The Avenue Mount Druitt,Blacktown,SHR,206,483,20/03/2014,
5045703,"Sydney Harbour Bridge, approaches and viaducts (road and rail)",NULL,Sydney,SHR,781,1864,20/03/2014,
5051430,Mount Dorothy Reservoir,NULL,Parramatta,SHR,1329,2023,20/03/2014,
5045632,King George Hotel (former) and Haymarket Post Office,"631, 633-635 George Street Sydney",Sydney,SHR,615,1626,20/03/2014,
5051374,Lansdowne Bridge,NULL,Fairfield,SHR,1472,NULL,20/03/2014,
5045569,Christ Church St Laurence Anglican Church and Pipe Organ,812a-814 George Street Sydney,Sydney,SHR,123,159,20/03/2014,
5051266,Tenterfield School of Arts,NULL,Tenterfield,SHR,1506,2133,20/03/2014,
5012149,Queanbeyan Railway Station group,NULL,Queanbeyan,SHR,1226,NULL,20/03/2014,
5051959,Cumberland District Hospital Group,5 Fleet Street Parramatta,Parramatta,SHR,820,2253,20/03/2014,
5000652,Goulburn Correctional Centre complex,NULL,Goulburn Mulwaree,SHR,808,2507,20/03/2014,
5012076,Lawson Railway Station Group,NULL,Blue Mountains,SHR,1177,2419,20/03/2014,
5056744,Randwick Presbyterian Church,162 Alison Road Randwick,Randwick,SHR,1777,2203,20/03/2014,
5045063,Westpac Bank,341 George Street Sydney,Sydney,SHR,664,1708,20/03/2014,
5045711,Courthouse and site (former),49 Grey Street Clarence Town,Dungog,SHR,558,1470,20/03/2014,
5012148,Norma Parker Correctional Centre,1 Fleet Street Parramatta,Parramatta,SHR,811,2229,20/03/2014,
5056626,Myall Creek Massacre and Memorial Site,NULL,Gwydir,SHR,1844,2339,20/03/2014,
5045435,Cowra rail bridge over Lachlan River,NULL,Cowra,SHR,1031,2176,20/03/2014,
5051455,Waverley Reservoir No.1 (WS 0132),NULL,Waverley,SHR,1353,2034,20/03/2014,
5045318,Pinnacle House,2-6 Barrack Street Sydney,Sydney,SHR,582,1591,20/03/2014,
5051396,Macarthur House,8 Melville Street Parramatta,Parramatta,SHR,50,118,20/03/2014,
5012247,Tocumwal Railway Station group,Narrandera-Tocumwal railway Tocumwal,Berrigan,SHR,1270,2684,4/12/2014,
5045115,Bathurst District Hospital,NULL,Bathurst Regional,SHR,815,2514,20/03/2014,
5045253,Dalwood House and surrounds of Wyndham Estate,NULL,Singleton,SHR,377,882,20/03/2014,
5053881,Sewer Vent,NULL,Sydney,SHR,1642,2055,20/03/2014,
5045696,CBC Bank (former),16-20 Manning Street Kiama,Kiama,SHR,143,351,20/03/2014,
5000973,Royal College of Pathologists (former),84 Windmill Street Millers Point,Sydney,SHR,851,2228,20/03/2014,
5045456,Linley,360 Burns Bay Road Linley Point,Lane Cove,SHR,350,835,20/03/2014,
5045508,CML Building,NULL,Goulburn Mulwaree,SHR,129,386,20/03/2014,
5012026,Greta Railway Station group,NULL,Cessnock,SHR,1156,NULL,20/03/2014,
