X,Y,project_id,orig_id,title,author,consultant,client,year,item_link,doc_type,notes,aol_qualit,contributo,site locat,county,lga,exportaddr,veriaddres,loc_conf,source
150.8116725,-34.06989135,"418","3303","Historical and archaeological assessment of 284 to 298 Queen Street, Campbelltown, NSW",Edward Higginbotham.,Edward Higginbotham.,,"1990",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3303,archaeology,"1 v,",not searched,The Author,not searched,not searched,not searched,"298 QUEEN STREET, CAMPBELLTOWN, NSW","298 QUEEN STREET CAMPBELLTOWN, NSW 2560, AUSTRALIA",Great,NSW-HeritageLibrary
151.1946124,-33.8692941,"419","3304","A conservation study of premises at 95 Pyrmont Street, Pyrmont, NSW",David Sheedy Pty Ltd,David Sheedy Pty Ltd,Council of City of Sydney.,"1993",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3304,historic sites,"22, [31] p. : ill. (col.), plans (folded)",not searched,The Author,not searched,not searched,not searched,"95 PYRMONT STREET, PYRMONT, NSW","93 PYRMONT STREET PYRMONT, NSW 2009, AUSTRALIA",Great,NSW-HeritageLibrary
151.2055904,-33.86694096,"420","3312",Conservation plan: AWA Building 45-47 York Street Sydney,Graham Alcock Giles Tribe Pty Ltd,Graham Alcock Giles Tribe Pty Ltd,Vaneri Pty. Limited.,"1990",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3312,historic sites,various pagings.,not searched,The Author,not searched,not searched,not searched,"45-47 YORK STREET, SYDNEY, NSW","45-47 YORK STREET SYDNEY, NSW 2000, AUSTRALIA",Great,NSW-HeritageLibrary
151.2055142,-33.85796371,"421","3324","Conservation plan for 75 Windmill Street, Millers Point",Howard Tanner & Associates Pty Ltd.,Howard Tanner & Associates Pty Ltd.,Department of Housing,"1992",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3324,historic sites,"vii, 88 leaves : ill., plans.",not searched,The author,not searched,not searched,not searched,"75 WINDMILL STREET, MILLERS POINT, NSW","75 WINDMILL STREET MILLERS POINT, NSW 2000, AUSTRALIA",Great,NSW-HeritageLibrary
151.208666,-33.8751128,"422","3358","NSW Fire Brigades Headquarters 211 - 217 Castlereagh Street: proposed demolition of former electricians workshop, former salvage garage: statement of heritage impact",Godden Mackay Pty Ltd.,Godden Mackay Pty Ltd.,,"1993",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3358,archaeology,"57 p. : ill., plans.",not searched,The author,not searched,not searched,not searched,"211-217 CASTLEREAGH STREET, Sydney, NSW","211-217 Castlereagh St, Sydney NSW 2000, Australia",Great,NSW-HeritageLibrary
151.7817429,-32.92920946,"424","3385","Historical archaeloogy report: 53 Newcomen Street, Newcastle.",Damaris Bairstow,Damaris Bairstow,Baybarge Pty Limited.,"1993",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3385,archaeology,"[34] p. : ill,",not searched,The Author,not searched,not searched,not searched,"53 NEWCOMEN STREET, NEWCASTLE, NSW","51 NEWCOMEN STREET NEWCASTLE, NSW 2300, AUSTRALIA",Great,NSW-HeritageLibrary
151.2033681,-33.8592417,"425","3556","Archaeological assessment of the properties located at 28, 37, 49 & 53 Kent Street & 20, 22, 28 & 30 Merriman Street, Millers Point",Martin Carney,Martin Carney,Department of Housing.,"1993",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3556,archaeological,107 p. : col. ill.,not searched,The Author,not searched,not searched,not searched,"53 KENT STREET, MILLERS POINT, NSW","53 KENT STREET MILLERS POINT, NSW 2000, AUSTRALIA",Great,NSW-HeritageLibrary
151.2099016,-33.87775,"426","3558","142-8 Elizabeth Street, Sydney: historical archaeological excavation report",Damaris Bairstow,Damaris Bairstow,Concrete Constructions (New South Wales),"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3558,archaeology,"69 [274] p. : ill., folded plans.",not searched,The Author,not searched,not searched,not searched,"142-8 ELIZABETH STREET, SYDNEY, NSW","8/142 Elizabeth St, Sydney NSW 2000, Australia",Great,NSW-HeritageLibrary
151.2099016,-33.87775,"427","3563","Foy's Ironmongery Store, 142 - 148 Elizabeth Street: baseline archaeological assessment",Godden Mackay Pty Ltd.,Godden Mackay Pty Ltd.,,"1993",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3563,archaeology,"94 p. : ill,",not searched,The author,not searched,not searched,not searched,"142-148 ELIZABETH STREET, Sydney, NSW","142-148 Elizabeth St, Sydney NSW 2000, Australia",Great,NSW-HeritageLibrary
151.1994095,-33.88099444,"428","3622","Archaeological assessment of 68-80 Mary Ann Street and 54-64 Macarthur Street, Ultimo. City West Redevelopment Project. Ultimo/Pyrmont affordable housing.",Edward Higginbotham.,Edward Higginbotham.,,"1993",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3622,archaeology,"1 v,",not searched,The Author,not searched,not searched,not searched,"68-80 MARY ANN STREET, ULTIMO, NSW","68 MARY ANN STREET ULTIMO, NSW 2007, AUSTRALIA",Great,NSW-HeritageLibrary
151.2055621,-33.8796359,"429","3627","An archaeological assessment of the Watkins Terrace block (Nos 730 - 742 George Street), and Parker Street, Haymarket, Sydney",Dana Jadwiga Mider.,Dana Jadwiga Mider.,,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3627,archaeological,"1 v. : ill,",not searched,The author,not searched,not searched,not searched,"730-742 GEORGE STREET, HAY, NSW","730-742 George St, Haymarket NSW 2000, Australia",Great,NSW-HeritageLibrary
151.1946334,-33.8722951,"430","3630","Historical and archaeological assessment of former McWilliams Wines premises, 55 Pyrmont Bridge Road, Pyrmont, NSW",Edward Higginbotham.,Edward Higginbotham.,,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3630,archaeology,"1 v. : plans,",not searched,The author,not searched,not searched,not searched,"55 PYRMONT BRIDGE, PYRMONT, NSW","55 Pyrmont Bridge Rd, Pyrmont NSW 2009, Australia",Great,NSW-HeritageLibrary
