LOCALITY_NAME
CONCORD
WOLLSTONECRAFT
PUTNEY
KILLARA
ST ANDREWS
WATERFALL
RAMSGATE
ENGADINE
BUSBY
WILTON
SMEATON GRANGE
TERREY HILLS
APPIN
BLUE MOUNTAINS NATIONAL PARK
EAST KILLARA
LEPPINGTON
BULLI
HOLSWORTHY
LILLI PILLI
WARRAWEE
KINGSFORD
DAVIDSON
LA PEROUSE
NAREMBURN
CENTENNIAL PARK
HOMEBUSH
CONCORD WEST
EAST RYDE
CHIFLEY
CLOVELLY
BRONTE
QUEENS PARK
BROOKVALE
NARRAWEENA
ORAN PARK
ERSKINE PARK
RYDE
NORTH TURRAMURRA
WORONORA DAM
ARNDELL PARK
ZETLAND
SYLVANIA WATERS
KENTLYN
MINTO HEIGHTS
JAMISONTOWN
ROSSMORE
DHARRUK
COLEDALE
COTTAGE POINT
NORTH WILLOUGHBY
STANWELL PARK
STANWELL TOPS
CROYDON
HUNTLEYS COVE
BOTANY BAY
BELROSE
MORNING BAY
CHURCH POINT
SPENCER
GRASMERE
CAMDEN
ELLIS LANE
KIRKHAM
WISEMANS FERRY
LANE COVE WEST
WHALAN
BANKSIA
CURL CURL
RUSHCUTTERS BAY
DANGAR ISLAND
BURRANEER
BALGOWLAH HEIGHTS
BURWOOD
CROWS NEST
KOGARAH BAY
DOLLS POINT
SOUTH TURRAMURRA
MELROSE PARK
EAST LINDFIELD
GREEN VALLEY
HECKENBERG
BEROWRA
CANADA BAY
HORNSBY HEIGHTS
BOX HEAD
WATSONS BAY
ENGLORIE PARK
PETERSHAM
WENTWORTHVILLE
GREYSTANES
OTFORD
TAREN POINT
PATONGA
EMU HEIGHTS
RUSSELL LEA
SADLEIR
ROSEBERY
SILVERDALE
WALLACIA
MAIANBAR
WILLOUGHBY EAST
MAYS HILL
YARRAMUNDI
AMBARVALE
SEVEN HILLS
ST HELENS PARK
WEST HOXTON
CABRAMATTA WEST
CARNES HILL
FAIRFIELD WEST
KENSINGTON
WATERLOO
THE ROCKS
MIDDLETON GRANGE
LEN WATERS ESTATE
HINCHINBROOK
FAIRFIELD
SYDENHAM
MILLERS POINT
WETHERILL PARK
MILLER
ASHCROFT
MCGRATHS HILL
NORTH ST MARYS
CHELTENHAM
YOWIE BAY
CANLEY VALE
ALLAMBIE HEIGHTS
DENISTONE
CHATSWOOD WEST
CHATSWOOD WEST
LOVETT BAY
HOBARTVILLE
CUMBERLAND REACH
HILLSDALE
HORNSBY
ASQUITH
BLACKETT
CONNELLS POINT
COOGEE
BLIGH PARK
FIDDLETOWN
HURSTVILLE
MOUNT COLAH
MOUNT KURING-GAI
ROSEHILL
TEMPE
COLEBEE
NARELLAN
ELANORA HEIGHTS
LIVERPOOL
BADGERYS CREEK
VAUCLUSE
BARDWELL PARK
BARDWELL VALLEY
MADDENS PLAINS
PENSHURST
LONGUEVILLE
PROSPECT
SILVERWATER
EDMONDSON PARK
MAROUBRA
RANDWICK
BELLEVUE HILL
CHIPPING NORTON
CARSS PARK
RIVERVIEW
GLENDENNING
QUAKERS HILL
MULGRAVE
NORTHMEAD
PITT TOWN BOTTOMS
DUNDAS
RYDALMERE
THORNLEIGH
NORTHBRIDGE
MOUNT ANNAN
CRANEBROOK
EASTGARDENS
ST PETERS
POTTS POINT
KURNELL
COWAN
DENHAM COURT
