ACCESS
ACCS
ALLEY
ALLEYWAY
ALLY
ALWY
AMBL
AMBLE
APP
APPROACH
ARC
ARCADE
ART
ARTERIAL
ARTERY
ARTL
AVE
AVENUE
BA
BANAN
BDWY
BEND
BEND
BOARDWALK
BOULEVARD
BRACE
BRAE
BRAE
BRCE
BREAK
BRK
BROADWAY
BROW
BROW
BVD
BWLK
BYPA
BYPASS
BYWAY
BYWY
CAUS
CAUSEWAY
CCT
CENTRE
CH
CHASE
CIR
CIRCLE
CIRCLET
CIRCUIT
CIRCUS
CL
CLOSE
CLT
CMMN
CNR
COMMON
CON
CONCOURSE
COPSE
CORNER
COURT
COURTYARD
COVE
COVE
CPS
CR
CRCS
CRESCENT
CREST
CROSS
CROSSING
CRSG
CRSS
CRST
CSAC
CT
CTR
CTYD
CUL-DE-SAC
CUTT
CUTTING
DALE
DALE
DEVIATION
DEVN
DIP
DIP
DISTRIBUTOR
DR
DRIVE
DRIVEWAY
DRWY
DSTR
EDGE
EDGE
ELB
ELBOW
END
END
ENT
ENTRANCE
ESP
ESPLANADE
EXP
EXPRESSWAY
EXTENSION
EXTN
FAIRWAY
FAWY
FIRETRACK
FIRETRAIL
FITR
FOLLOW
FOLW
FOOTWAY
FORM
FORMATION
FREEWAY
FRONTAGE
FRTG
FTRK
FTWY
FWY
GAP
GAP
GARDEN
GARDENS
GATE
GATE
GDN
GDNS
GLADE
GLD
GLEN
GLEN
GR
GRA
GRANGE
GREEN
GRN
GROVE
HEIGHTS
HIGHROAD
HIGHWAY
HILL
HILL
HRD
HTS
HWY
INTERCHANGE
INTG
JNC
JUNCTION
KEY
KEY
LANE
LANE
LANEWAY
LINE
LINE
LINK
LINK
LKT
LNWY
LOOKOUT
LOOP
LOOP
MALL
MALL
MEANDER
MEWS
MEWS
MNDR
MOTORWAY
MWY
NOOK
NOOK
OTLK
OUTLOOK
PARADE
PARKWAY
PASS
PASS
PASSAGE
PATH
PATH
PATHWAY
PDE
PHWY
PIAZ
PIAZZA
PKT
PKWY
PL
PLACE
PLAZA
PLZA
PNT
POCKET
POINT
PORT
PORT
PROM
PROMENADE
PSGE
QDRT
QUADRANT
QUAY
QUAYS
QY
QYS
RAMBLE
RAMP
RAMP
RD
RDGE
RDS
REST
REST
RETREAT
RIDGE
RING
RING
RISE
RISE
RMBL
ROAD
ROADS
ROTARY
ROUTE
ROW
ROW
RTE
RTT
RTY
RUE
RUE
SBWY
SERVICEWAY
SHUN
SHUNT
SPUR
SPUR
SQ
SQUARE
ST
STAIRS
STEPS
STPS
STREET
STRIP
STRP
STRS
SUBWAY
SVWY
TARN
TARN
TCE
TERRACE
THOR
THOROUGHFARE
TLWY
TOLLWAY
TOP
TOP
TOR
TOR
TRACK
TRAIL
TRK
TRL
TURN
TURN
UNDERPASS
UPAS
VALE
VALE
VIAD
VIADUCT
VIEW
VIEW
VISTA
VSTA
WALK
WALK
WALKWAY
WAY
WAY
WHARF
WHRF
WKWY
WYND
WYND
