HOITEMID,ITEMNAME,ADDRESS,LGA,LISTING,LISTINGNO,PLANNO,RUNDATE,LISTING_DA
5045451,Tempe House & St Magdalenes Chapel,1 Princes Highway Arncliffe,Rockdale,SHR,00725,1778,2014-03-20,
5012047,Gunning Railway Station and yard group,NULL,Upper Lachlan,SHR,01162,NULL,2014-03-20,
5060554,"Great North Road, Between Mt Manning and Wollombi",NULL,Hawkesbury,SHR,01789,2238,2014-03-20,
5045357,Oswald Bond Store,1-17 Kent Street Millers Point,Sydney,SHR,00527,1340,2014-03-20,
5045176,Dame Eadith Walker Convalescent Hospital,NULL,Canada Bay,SHR,00119,144,2014-03-20,
5012152,Raglan Railway Station group,NULL,Bathurst Regional,SHR,01228,NULL,2014-03-20,
5045117,House,194 Howick Street Bathurst,Bathurst Regional,SHR,00398,949,2014-03-20,
5045498,Broken Hill Synagogue,165 Wolfram Street Broken Hill,Broken Hill,SHR,00675,1723,2014-03-20,
5045642,Townhouse,22 Lower Fort Street Millers Point,Sydney,SHR,00880,NULL,2014-03-20,
5053208,Shops and Residences,136-138 Cumberland Street The Rocks,Sydney,SHR,01592,NULL,2014-03-20,
5045623,Osborne House,34 Argyle Place Millers Point,Sydney,SHR,00886,NULL,2014-03-20,
5012012,Georges Plains Railway Station group,NULL,Bathurst Regional,SHR,01147,NULL,2014-03-20,
5045565,Little Milton,31-33 Smith Street Wollongong,Wollongong City,SHR,00272,355,2014-03-20,
5045162,St. John's Anglican Church and Rectory,NULL,Wentworth,SHR,00661,1703,2014-03-20,
5045315,Railway Turntable,NULL,Armidale Dumaresq,SHR,01233,NULL,2014-03-20,
5045624,Inverell Shire Council Building (former),56 Byron Street Inverell,Inverell,SHR,00553,1463,2014-03-20,
5045171,"Ebenezer Church (Uniting), Old Schoolhouse, Cemetery & Tree",NULL,Hawkesbury,SHR,00138,401,2014-03-20,
5045354,Cottage Museum,NULL,Upper Hunter,SHR,00259,619,2014-03-20,
5045124,Hardware House,73 York Street Sydney,Sydney,SHR,00580,1589,2014-03-20,
5011925,Auburn Railway Signal Box,NULL,Auburn,SHR,01023,2161,2014-03-20,
