site_name,Short_site_name
129-145 Harrington Street Sydney,129-145 Harrington Street
"173-179 Broadway, Ultimo",Broadway Picture Theatre
"1855 Parramatta Railway Terminus, Mort Street, Granville",1855 Parramatta Railway Terminus
"2-12 Macquarie St, Parramatta",2-12 Macquarie St
"265 Fifteenth Avenue, West Hoxton",265 Fifteenth Avenue
"37-39 Cowper St, Harris Park",37-39 Cowper St
"4 George Street, Parramatta",4 George Street
"67 Junction Road, Baulkham Hills",67 Junction Road
"72 Phillip Street, Parramatta",72 Phillip Street
"Admiralty House, Kirribilli",Admiralty House
Annesley House,Annesley House
"Bald Face Point Reserve, Blakehurst",Bald Face Point Reserve
Barangaroo Headland Park,Barangaroo Headland Park
"basketball court, Hyland Farm Road, Greystanes",Hyland Farm Road Group
between Southern Cross Drive and General Holmes Drive,between Southern Cross Drive and General Holmes Drive
"Blackfriars School, UTS Sydney",Blackfriars School
Bonnyrigg Male Orphan School,Bonnyrigg Male Orphan School
"Botany Water Works, Sydney",Botany Water Works
"Bradfield Park, Milson's Point",Bradfield Park
"Bullecourt Place, Ultimo",Bullecourt Place
Burwood copper smelter,Burwood copper smelter
"Butcher Brothers' Brickworks Alto Place, Artarmon",Butcher Brothers' Brickworks Alto Place
"Callan Point and Yurulbin point, Leichhardt",Callan Point and Yurulbin point
"Cameron's Cove, Balmain",Cameron's Cove
"Campbelltown Medical and Dental Clinic, Queen Street, Campbelltown",Campbelltown Medical and Dental Clinic
Camperdown Memorial Rest Park,Camperdown Memorial Rest Park
Carrington watchhouse,Carrington watchhouse
Castle Hill Heritage Park,Castle Hill Heritage Park
"Cliftonville Road, Upper Half Moon Reach Hawkesbury River, Lower Portland",Cliftonville Road
"coastal cliff walk, South Head",coastal cliff walk
"Commonwealth Analytical Laboratories, Suakin Street Pymble",Commonwealth Analytical Laboratories
"Como House, Victoria",Como House
"Conservatorium of Music, Sydney",Conservatorium of Music
Cowpasture Road (North Liverpool road to the West Link M7 Motorway),Cowpasture Road (North Liverpool road to the West Link M7 Motorway)
"Cumberland Hospital, Parramatta",Cumberland Hospital
"Customs House, Sydney",Customs House
"Darlington Campus, University of Sydney",Darlington Campus
"disused railway tunnel, Otford to Stanwell Park",disused railway tunnel
"DMR site, Sydney",DMR site
"Driver and John Hargreaves Avenues, Moore Park",Driver and John Hargreaves Avenues
"Eastern Suburbs Memorial Park, Matraville",Eastern Suburbs Memorial Park
"Ebenezer Mission, Victoria",Ebenezer Mission
