TroveID,troveUrl,title,site_name,contributor,issued,year,abstract,subjects,URLs,ExternalURL_1,ExternalURL_1_type,relevanceScore,suburbs,longitude,latitude
22070229,http://trove.nla.gov.au/work/22070229,"Report on the archaeological monitoring programme for the construction of a basketball court : Hyland Farm Road Group, Hyland Road Greystanes, N.S.W. / Edward Higginbotham","basketball court, Hyland Farm Road, Greystanes","Higginbotham, Edward A. K",1993,1993,not found,not found,not found,not found,not found,0.041756004,none found,none found
160035177,http://trove.nla.gov.au/work/160035177,"Historical and archaeological analysis of proposed main road between Southern Cross Drive and General Holmes Drive, Mascot and Eastlakes, Sydney, N.S.W. / report compiled by Edward Higginbotham",between Southern Cross Drive and General Holmes Drive,"Higginbotham, Edward A. K",1985,1985,not found,not found,not found,not found,not found,0.03319434,151.1918063,-33.9429674
18356079,http://trove.nla.gov.au/work/18356079,"Historical and archaeological analysis of proposed main road between Southern Cross Drive and General Holmes Drive, Mascot and Eastlakes, Sydney, N.S.W. : report / compiled by Edward Higginbotham ; historical research by Edward Higginbotham and Guy MacKanna ; historical outline (section 2.0) by Guy Mackanna ; edited by Edward Higginbotham for the Dept. of Main Roads, N.S.W",between Southern Cross Drive and General Holmes Drive,"Higginbotham, Edward A. K",1985,1985,not found,not found,not found,not found,not found,0.029896453,151.1918063,-33.9429674
20932041,http://trove.nla.gov.au/work/20932041,"Blackfriars School site baseline archaeological assessment / for the University of Technology Sydney [by] Casey & Lowe Associates, Archaeologists & Heritage Consultants","Blackfriars School, UTS Sydney","University of Technology, Sydney",1993,1993,not found,not found,not found,not found,not found,0.060002252,none found,none found
20089011,http://trove.nla.gov.au/work/20089011,"Historical archaeological test excavation report : former Bonnyrigg Male Orphan School site, Bonnyrigg NSW / Peter Douglas & Cosmos Coroneos",Bonnyrigg Male Orphan School,"Douglas, Peter archaeologist",2005,2005,not found,not found,not found,not found,not found,0.18928061,150.8763177,-33.89032668
29706137,http://trove.nla.gov.au/work/29706137,Research design & excavation methodology for proposed investigations at the former Bonnyrigg Male Orphan School site (on land between Brown & Homestead Rd's - Bonnyrigg NSW) / Peter Douglas ; on behalf of Landcom,Bonnyrigg Male Orphan School,"Douglas, Peter archaeologist",2004,2004,not found,not found,not found,not found,not found,0.049765795,150.8763177,-33.89032668
22536182,http://trove.nla.gov.au/work/22536182,"Botany Pumping Station ruins : archaeological report on the Pumping Station ruins at the former Botany Water Works, Sydney / C & MJ Doring","Botany Water Works, Sydney",C. and M. J. Doring (Firm),1996,1996,not found,not found,not found,not found,not found,0.040403694,none found,none found
22071663,http://trove.nla.gov.au/work/22071663,"Report on the archaeological monitoring programme of works associated with the construction of the Sydney Harbour Tunnel at Bradfield Park, Milson's Point, Sydney, N.S.W / E. Higginbotham","Bradfield Park, Milson's Point","Higginbotham, Edward A. K",1992,1992,not found,not found,not found,not found,not found,0.04146559,none found,none found
25998123,http://trove.nla.gov.au/work/25998123,"Bullecourt Place, Ultimo : archaeological excavation report / prepared for Australand Holdings Ltd and Heritage Council of NSW [by] Godden Mackay Logan Heritage Consultants","Bullecourt Place, Ultimo",Godden Mackay Logan Pty. Ltd,2004,2004,not found,not found,not found,not found,not found,0.09244461,none found,none found
160036747,http://trove.nla.gov.au/work/160036747,Burwood copper smelter : manager's house site historical archaeological report / Damaris Bairstow for Hunter District Water Board,Burwood copper smelter,"Bairstow, Damaris",1987,1987,not found,not found,not found,not found,not found,0.038055655,none found,none found
