site_name,Short_site_name,VerifiedAddress,X,Y,LocConf,results
"Queen Street Precinct, Campbelltown",Queen Street Precinct,"Queen St, Campbelltown NSW 2560, Australia",150.8164663,-34.0642022,GEOMETRIC_CENTER,"('Queen St, Campbelltown NSW 2560, Australia', 150.8164663, -34.0642022, 'GEOMETRIC_CENTER')"
"Railway Bridge, Norton Street Leichhardt ",Railway Bridge,"Glebe Island Bridge, Victoria Road 2037, Bank St, Pyrmont NSW 2009, Australia",151.185737,-33.8682481,GEOMETRIC_CENTER,"('Glebe Island Bridge, Victoria Road 2037, Bank St, Pyrmont NSW 2009, Australia', 151.185737, -33.8682481, 'GEOMETRIC_CENTER')"
"RAN Stores, Rydalmere",RAN Stores,"Rydalmere NSW 2116, Australia",151.0417407,-33.8122993,APPROXIMATE,"('Rydalmere NSW 2116, Australia', 151.0417407, -33.8122993, 'APPROXIMATE')"
Randwick Bus Depot,Randwick Bus Depot,"34-36 King St, Randwick NSW 2031, Australia",151.2359272,-33.9064537,Great - Google,"('34-36 King St, Randwick NSW 2031, Australia', 151.2359272, -33.9064537, 'Great - Google')"
Randwick Naval Stores,Randwick Naval Stores,"Randwick NSW 2031, Australia",151.23653,-33.91643,APPROXIMATE,"('Randwick NSW 2031, Australia', 151.23653, -33.91643, 'APPROXIMATE')"
"Rivercentre site, Parramatta",Rivercentre site,"Parramatta NSW 2150, Australia",151.001111,-33.815,APPROXIMATE,"('Parramatta NSW 2150, Australia', 151.001111, -33.815, 'APPROXIMATE')"
Rozelle Bay,Rozelle Bay,"Rozelle Bay, New South Wales, Australia",151.1792842,-33.8710628,APPROXIMATE,"('Rozelle Bay, New South Wales, Australia', 151.1792842, -33.8710628, 'APPROXIMATE')"
"Saint Bartholomew's Church, Prospect",Saint Bartholomew's Church,"Ponds Rd, Prospect NSW 2148, Australia",150.9167809,-33.8041877,GEOMETRIC_CENTER,"('Ponds Rd, Prospect NSW 2148, Australia', 150.9167809, -33.8041877, 'GEOMETRIC_CENTER')"
"Saint Margaret's East, Surry Hills",Saint Margaret's East,"Church Ln, Surry Hills NSW 2010, Australia",151.2162039,-33.882561,GEOMETRIC_CENTER,"('Church Ln, Surry Hills NSW 2010, Australia', 151.2162039, -33.882561, 'GEOMETRIC_CENTER')"
"Sargents' Factory, East Sydney",Sargents' Factory,"83 Roper Rd, Colyton NSW 2760, Australia",150.8033401,-33.78344209999999,Great - Google,"('83 Roper Rd, Colyton NSW 2760, Australia', 150.8033401, -33.78344209999999, 'Great - Google')"
Scheyville Former Officer Training Camp,Scheyville Former Officer Training Camp,"Scheyville NSW 2756, Australia",150.88291,-33.6112,APPROXIMATE,"('Scheyville NSW 2756, Australia', 150.88291, -33.6112, 'APPROXIMATE')"
"Shepherds Gully, The Old Great North Road",Shepherds Gully,"128 Eelah Rd, Mindaribba NSW 2320, Australia",151.5765023,-32.6425731,Great - Google,"('128 Eelah Rd, Mindaribba NSW 2320, Australia', 151.5765023, -32.6425731, 'Great - Google')"
Silverwater Gaol,Silverwater Gaol,"Holker St, Silverwater NSW 2128, Australia",151.0554613,-33.8308128,GEOMETRIC_CENTER,"('Holker St, Silverwater NSW 2128, Australia', 151.0554613, -33.8308128, 'GEOMETRIC_CENTER')"
"Spring Hill, McGrath's Hill",Spring Hill,"1 Wingate Rd, Mcgraths Hill NSW 2756, Australia",150.8353892,-33.6226188,Great - Google,"('1 Wingate Rd, Mcgraths Hill NSW 2756, Australia', 150.8353892, -33.6226188, 'Great - Google')"
"St Patricks Cemetery, North Parramatta",St Patricks Cemetery,"St Patricks Cemetery, North Parramatta NSW 2151, Australia",151.0060212,-33.8018816,GEOMETRIC_CENTER,"('St Patricks Cemetery, North Parramatta NSW 2151, Australia', 151.0060212, -33.8018816, 'GEOMETRIC_CENTER')"
"Stanhope Park, Parklea",Stanhope Park,"Stanhope Pkwy, Sydney NSW, Australia",150.912921,-33.7163944,GEOMETRIC_CENTER,"('Stanhope Pkwy, Sydney NSW, Australia', 150.912921, -33.7163944, 'GEOMETRIC_CENTER')"
"State Abattoir, Homebush Bay",State Abattoir,"Homebush NSW 2140, Australia",151.08234,-33.86405999999999,APPROXIMATE,"('Homebush NSW 2140, Australia', 151.08234, -33.86405999999999, 'APPROXIMATE')"
"Station Street Drill Hall, Homebush",Station Street Drill Hall,"Station St, Homebush NSW 2140, Australia",151.0870396,-33.865736,GEOMETRIC_CENTER,"('Station St, Homebush NSW 2140, Australia', 151.0870396, -33.865736, 'GEOMETRIC_CENTER')"
Strides Boat Yard,Strides Boat Yard,"91 Hannell St, Wickham NSW 2293, Australia",151.760539,-32.920975,Great - Google,"('91 Hannell St, Wickham NSW 2293, Australia', 151.760539, -32.920975, 'Great - Google')"
Sydney City Mission Hostel,Sydney City Mission Hostel,"7 Wilmot St, Sydney NSW 2000, Australia",151.207444,-33.8753912,Great - Google,"('7 Wilmot St, Sydney NSW 2000, Australia', 151.207444, -33.8753912, 'Great - Google')"
"Sydney Smelting and Refining Company, Hunters Hill",Sydney Smelting and Refining Company,"Hunters Hill NSW 2110, Australia",151.14366,-33.8337,APPROXIMATE,"('Hunters Hill NSW 2110, Australia', 151.14366, -33.8337, 'APPROXIMATE')"
"Taylor's Square, Darlinghurs",Taylor's Square,"Taylor Square, New South Wales 2010, Australia",151.2168467,-33.8809797,APPROXIMATE,"('Taylor Square, New South Wales 2010, Australia', 151.2168467, -33.8809797, 'APPROXIMATE')"
"The Competition Site, Pyrmont",The Competition Site,"Pyrmont NSW 2009, Australia",151.1956918,-33.8737167,APPROXIMATE,"('Pyrmont NSW 2009, Australia', 151.1956918, -33.8737167, 'APPROXIMATE')"
"The Domain and Botanic Gardens, Sydney",The Domain and Botanic Gardens,"Royal Botanic Gardens, Mrs Macquaries Rd, Sydney NSW 2000, Australia",151.2165708,-33.8641859,GEOMETRIC_CENTER,"('Royal Botanic Gardens, Mrs Macquaries Rd, Sydney NSW 2000, Australia', 151.2165708, -33.8641859, 'GEOMETRIC_CENTER')"
"Third Runway, Sydney",Third Runway,"Sydney Airport (SYD), Sydney NSW 2020, Australia",151.1752764,-33.9399228,GEOMETRIC_CENTER,"('Sydney Airport (SYD), Sydney NSW 2020, Australia', 151.1752764, -33.9399228, 'GEOMETRIC_CENTER')"
Toongabbie Government Farm,Toongabbie Government Farm,"Toongabbie NSW 2146, Australia",150.95645,-33.78606,APPROXIMATE,"('Toongabbie NSW 2146, Australia', 150.95645, -33.78606, 'APPROXIMATE')"
"Tramways Workshops, Sydney",Tramways Workshops,"Pitt St, Loftus NSW 2232, Australia",151.051937,-34.04505,GEOMETRIC_CENTER,"('Pitt St, Loftus NSW 2232, Australia', 151.051937, -34.04505, 'GEOMETRIC_CENTER')"
"Tulloch's Phoenix Site, Concord",Tulloch's Phoenix Site,"Concord NSW 2137, Australia",151.10191,-33.85985,APPROXIMATE,"('Concord NSW 2137, Australia', 151.10191, -33.85985, 'APPROXIMATE')"
"Walsh Bay, Sydney",Walsh Bay,"Walsh Bay, New South Wales, Australia",151.2024125,-33.849291,APPROXIMATE,"('Walsh Bay, New South Wales, Australia', 151.2024125, -33.849291, 'APPROXIMATE')"
"Warren Park, Marrickville",Warren Park,"Warren Park, Thornley St, Marrickville NSW 2204, Australia",151.1499641,-33.9219386,GEOMETRIC_CENTER,"('Warren Park, Thornley St, Marrickville NSW 2204, Australia', 151.1499641, -33.9219386, 'GEOMETRIC_CENTER')"
"Wentworth Park, Sydney",Wentworth Park,"Wentworth Park Sporting Complex, L2/3 Wentworth Park Rd, Glebe NSW 2037, Australia",151.1922027,-33.8775778,Great - Google,"('Wentworth Park Sporting Complex, L2/3 Wentworth Park Rd, Glebe NSW 2037, Australia', 151.1922027, -33.8775778, 'Great - Google')"
"White's Creek, Leichhardt",White's Creek,"Whites Creek, New South Wales, Australia",151.1688552,-33.8762288,APPROXIMATE,"('Whites Creek, New South Wales, Australia', 151.1688552, -33.8762288, 'APPROXIMATE')"
"Wilton Grasslands Historic Site, Wilton",Wilton Grasslands Historic Site,"Wilton NSW 2571, Australia",150.7,-34.233333,APPROXIMATE,"('Wilton NSW 2571, Australia', 150.7, -34.233333, 'APPROXIMATE')"
Windsor Military Guardhouse,Windsor Military Guardhouse,"Windsor NSW 2756, Australia",150.817222,-33.615,APPROXIMATE,"('Windsor NSW 2756, Australia', 150.817222, -33.615, 'APPROXIMATE')"
